sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale,heading,emergency_braking,joint_wait_reason,joint_wait_until,replan_requested
2.048,1,en_route_pickup,-4.088,2.921,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00,1.774,False,None,0.000,False
2.048,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00,-0.001,False,None,0.000,False
2.048,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00,3.142,False,None,0.000,False
2.048,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
2.048,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.048,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.048,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
2.048,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
4.096,1,en_route_pickup,-4.310,2.980,-6.000,3.500,joint_grid_transaction,2,1,3,9,1,0.000,1.00,3.084,False,None,0.000,False
4.096,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,joint_grid_transaction,2,0,0,9,2,0.000,1.00,0.018,False,None,0.000,False
4.096,3,en_route_pickup,3.998,3.000,-3.000,1.500,joint_grid_transaction,2,0,0,9,3,0.000,1.00,3.142,False,None,0.000,False
4.096,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
4.096,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
4.096,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
4.096,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
4.096,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
6.144,1,en_route_pickup,-4.603,2.962,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00,3.074,False,None,0.000,False
6.144,2,en_route_pickup,-4.086,-2.918,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00,1.337,False,None,0.000,False
6.144,3,en_route_pickup,3.719,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00,-3.142,False,joint_slot_deadline,6.292,False
6.144,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
6.144,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
6.144,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
6.144,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
6.144,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
8.192,1,en_route_pickup,-4.796,3.031,-6.000,3.500,_joint_stall_recovery,4,3,2,3,1,0.000,1.00,-2.777,False,None,0.000,False
8.192,2,en_route_pickup,-4.192,-2.684,-1.000,1.500,_joint_stall_recovery,7,3,1,5,2,0.000,1.00,1.823,False,None,0.000,False
8.192,3,en_route_pickup,3.370,3.000,-3.000,1.500,_joint_stall_recovery,6,3,0,6,3,0.000,1.00,-3.142,False,None,0.000,False
8.192,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
8.192,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
8.192,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
8.192,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
8.192,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
10.240,1,en_route_pickup,-5.168,3.112,-6.000,3.500,_joint_stall_recovery,4,3,2,3,1,0.000,1.00,-2.973,False,None,0.000,False
10.240,2,en_route_pickup,-4.232,-2.329,-1.000,1.500,_joint_stall_recovery,7,3,1,5,2,0.000,1.00,1.657,False,None,0.000,False
10.240,3,en_route_pickup,2.987,3.000,-3.000,1.500,_joint_stall_recovery,6,3,0,6,3,0.000,1.00,-3.142,False,None,0.000,False
10.240,4,en_route_pickup,4.000,-3.000,0.000,3.500,None,None,0,0,3,4,0.000,1.00,3.142,False,None,0.000,False
10.240,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
10.240,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
